text_id,sample_date,sample_id,result_value,percentage,median,anomaly_score,is_anomaly
AD24-00116.026,2024-03-18,AD24-00116.026,159802,1.522,143990.0,-1,True
AD23-00429.033,2023-11-15,AD23-00429.033,381714,3.495,80864.0,-1,True
AD22-00012.009,2022-12-07,AD22-00012.009,120265,2.961095,91185.0,-1,True
AD23-00429.003,2023-11-15,AD23-00429.003,964100,11.811,884428.5,-1,True
AD22-00017.003,2022-12-12,AD22-00017.003,1973959,18.893,319982.0,-1,True
AD23-00011.001,2023-01-09,AD23-00011.001,170746,1.901,91252.0,-1,True
AD24-00116.031,2024-03-18,AD24-00116.031,167774,1.522,91252.0,-1,True
AD24-00051.015,2024-02-04,AD24-00051.015,115692,12.12,25183.0,-1,True
AD23-00430.002,2023-11-15,AD23-00430.002,337383,3.986,225253.0,-1,True
AD22-00036.015,2022-12-26,AD22-00036.015,786823,6.577,671922.0,-1,True
AD22-00013.008,2022-12-07,AD22-00013.008,852372,12.946253,884428.5,-1,True
AD22-00012.014,2022-12-07,AD22-00012.014,1254384,24.959562,884428.5,-1,True
AD24-00116.026,2024-03-18,AD24-00116.026,170974,1.628,319982.0,-1,True
AD24-00116.034,2024-03-18,AD24-00116.034,284953,1.911,53001.0,-1,True
AD22-00014.007,2022-12-08,AD22-00014.007,181138,2.618472,225253.0,-1,True
AD22-00012.007,2022-12-07,AD22-00012.007,764794,9.048308,884428.5,-1,True
AD24-00051.003,2024-02-04,AD24-00051.003,52006,2.522,225253.0,-1,True
AD22-00012.012,2022-12-07,AD22-00012.012,170893,11.305715,671922.0,-1,True
AD23-00434.020,2023-11-19,AD23-00434.020,436956,3.863,319781.0,-1,True
AD24-00116.026,2024-03-18,AD24-00116.026,266471,2.537,63368.0,-1,True
AD23-00429.027,2023-11-15,AD23-00429.027,848246,10.078,884428.5,-1,True
AD23-00429.023,2023-11-15,AD23-00429.023,415851,4.694,61811.0,-1,True
AD24-00051.010,2024-02-04,AD24-00051.010,89372,3.963,319781.0,-1,True
AD23-00399.025,2023-10-25,AD23-00399.025,73800,1.34,218747.0,-1,True
AD22-00015.006,2022-12-08,AD22-00015.006,1184422,24.708094,218747.0,-1,True
AD23-00429.056,2023-11-15,AD23-00429.056,518472,5.302,68217.0,-1,True
AD22-00015.006,2022-12-08,AD22-00015.006,38585,0.804917,884428.5,-1,True
AD23-00394.039,2023-10-22,AD23-00394.039,277317,4.828,319982.0,-1,True
AD23-00429.055,2023-11-15,AD23-00429.055,474049,4.675,143990.0,-1,True
AD24-00051.008,2024-02-04,AD24-00051.008,123145,4.325,53001.0,-1,True
AD23-00432.014,2023-11-16,AD23-00432.014,127901,2.004,88015.0,-1,True
AD22-00017.002,2022-12-12,AD22-00017.002,3187897,29.234,884428.5,-1,True
